"FindID","PrimaryMaterial","Denomination","Tribe","Easting","Northing"
"CCI-00112","Gold","Quarter stater (gold)","Uninscribed",395000,138000
"CCI-00265","Silver","Unit (silver)","Uninscribed",364000,139000
"CCI-00388","Silver","Unit (silver)","Uninscribed",394000,226000
"CCI-004","Copper alloy","Unit (copper alloy)","Uninscribed",491000,306000
"CCI-00445","Silver","Unit (silver)","Uninscribed",414000,110000
"CCI-00798","Gold","Quarter stater (gold)","Uninscribed",341000,178000
"CCI-00846","Silver","Unit (silver)","Uninscribed",440000,116000
"CCI-00854","Gold","Quarter stater (gold)","Uninscribed",436000,114000
"CCI-00896","Copper alloy","Unit (copper alloy)","Uninscribed",398000,139000
"CCI-01048","Gold","Quarter stater (gold)","Uninscribed",430000,118000
"CCI-01205","Gold","Quarter stater (gold)","Uninscribed",309000,199000
"CCI-01294","Gold","Quarter stater (gold)","Uninscribed",489000,235000
"CCI-10535","Gold","Quarter stater (gold)","Uninscribed",344000,232000
"CCI-11621","Silver","Unit (silver)","Uninscribed",395000,138000
"CCI-20045","Silver","Unit (silver)","Uninscribed",451000,117000
"CCI-20304","Copper alloy","Unit (copper alloy)","Uninscribed",436000,114000
"CCI-20367","Gold","Quarter stater (gold)","Uninscribed",380000,199000
"CCI-20368","Gold","Quarter stater (gold)","Uninscribed",380000,199000
"CCI-20537","Silver","Unit (silver)","Uninscribed",424000,143000
"CCI-20596","Copper alloy","Unit (copper alloy)","Uninscribed",438000,116000
"CCI-2073","Silver","Unit (silver)","Uninscribed",414000,110000
"CCI-20926","Gold","Quarter stater (gold)","Uninscribed",482000,206000
"CCI-30665","Silver","Unit (silver)","Uninscribed",436000,114000
"CCI-3072","Copper alloy","Unit (copper alloy)","Uninscribed",398000,139000
"CCI-30791","Gold","Quarter stater (gold)","Uninscribed",363000,165000
"CCI-30897","Copper alloy","Unit (copper alloy)","Uninscribed",438000,116000
"CCI-41007","Silver","Unit (silver)","Uninscribed",446000,153000
"CCI-42179","Copper alloy","Unit (copper alloy)","Uninscribed",489000,232000
"CCI-710155","Gold","Quarter stater (gold)","Uninscribed",459000,231300
"CCI-760019","Gold","Quarter stater (gold)","Uninscribed",467000,259000
"CCI-780067","Silver","Unit (silver)","Uninscribed",458000,116000
"CCI-820298","Gold","Quarter stater (gold)","Uninscribed",489000,235000
"CCI-830092","Silver","Unit (silver)","Uninscribed",431800,187700
"CCI-830251","Silver","Unit (silver)","Uninscribed",424000,133000
"CCI-830344","Silver","Unit (silver)","Uninscribed",431800,187700
"CCI-830355","Gold","Quarter stater (gold)","Uninscribed",488730,233910
"CCI-84037","Gold","Quarter stater (gold)","Uninscribed",386600,161200
"CCI-860133","Gold","Quarter stater (gold)","Uninscribed",497000,222000
"CCI-890029","Gold","Quarter stater (gold)","Uninscribed",363000,165000
"CCI-900055","Silver","Unit (silver)","Uninscribed",500370,115570
"CCI-900058","Silver","Unit (silver)","Uninscribed",494300,114400
"CCI-900134","Silver","Unit (silver)","Uninscribed",436000,114000
"CCI-900811","Gold","Quarter stater (gold)","Uninscribed",462000,216000
"CCI-900835","Gold","Quarter stater (gold)","Uninscribed",346000,92000
"CCI-910107","Gold","Quarter stater (gold)","Uninscribed",370000,119000
"CCI-910352","Silver","Half unit (silver)","Uninscribed",422400,112900
"CCI-910417","Copper alloy","Unit (copper alloy)","Uninscribed",422400,112900
"CCI-910419","Copper alloy","Quarter Stater (copper alloy)","Uninscribed",422400,112900
"CCI-910425","Silver","Unit (silver)","Uninscribed",422400,112900
"CCI-910427","Silver","Unit (silver)","Uninscribed",422400,112900
"CCI-910434","Copper alloy","Stater (copper alloy)","Uninscribed",422400,112900
"CCI-910446","Silver","Unit (silver)","Uninscribed",422400,112900
"CCI-910453","Copper alloy","Unit (copper alloy)","Uninscribed",422400,112900
"CCI-910465","Gold","Quarter stater (gold)","Uninscribed",439000,211000
"CCI-910494","Silver","Unit (silver)","Uninscribed",422400,112900
"CCI-910499","Silver","Unit (silver)","Uninscribed",422400,112900
"CCI-910504","Silver","Unit (silver)","Uninscribed",422400,112900
"CCI-910506","Silver","Unit (silver)","Uninscribed",422400,112900
"CCI-910577","Copper alloy","Unit (copper alloy)","Uninscribed",422400,112900
"CCI-920692","Gold","Quarter stater (gold)","Uninscribed",380000,199000
"CCI-920693","Gold","Quarter stater (gold)","Uninscribed",4e+05,203000
"CCI-930157","Gold","Quarter stater (gold)","Uninscribed",371000,179000
"CCI-930204","Silver","Unit (silver)","Uninscribed",436000,217000
"CCI-930897","Gold","Quarter stater (gold)","Uninscribed",371000,179000
"CCI-940005","Gold","Quarter stater (gold)","Uninscribed",414000,201000
"CCI-940039","Gold","Quarter stater (gold)","Uninscribed",319000,1e+05
"CCI-940112","Gold","Quarter stater (gold)","Uninscribed",401000,216000
"CCI-940232","Gold","Quarter stater (gold)","Uninscribed",319000,1e+05
"CCI-940789","Gold","Quarter stater (gold)","Uninscribed",436000,114000
"CCI-941115","Gold","Quarter stater (gold)","Uninscribed",4e+05,203000
"CCI-941441","Gold","Quarter stater (gold)","Uninscribed",350452,171231
"CCI-941466","Copper alloy","Quarter Stater (copper alloy)","Uninscribed",422000,110000
"CCI-950439","Silver","Unit (silver)","Uninscribed",436000,114000
"CCI-950441","Gold","Quarter stater (gold)","Uninscribed",438000,116000
"CCI-950518","Silver","Unit (silver)","Uninscribed",476000,122000
"CCI-951032","Silver","Unit (silver)","Uninscribed",429000,188000
"CCI-951124","Gold","Quarter stater (gold)","Uninscribed",436000,114000
"CCI-951192","Silver","Unit (silver)","Uninscribed",432000,117000
"CCI-952903","Gold","Quarter stater (gold)","Uninscribed",387000,209000
"CCI-953458","Silver","Unit (silver)","Uninscribed",417000,115000
"CCI-953463","Gold","Quarter stater (gold)","Uninscribed",382000,147000
"CCI-961343","Silver","Unit (silver)","Uninscribed",471000,115000
"CCI-961546","Silver","Unit (silver)","Uninscribed",436000,114000
"CCI-961574","Silver","Unit (silver)","Uninscribed",436000,114000
"CCI-96181","Silver","Unit (silver)","Uninscribed",438000,116000
"CCI-961823","Gold","Quarter stater (gold)","Uninscribed",438000,261000
"CCI-961824","Silver","Unit (silver)","Uninscribed",427000,124000
"CCI-96224","Gold","Quarter stater (gold)","Uninscribed",363000,165000
"CCI-962423","Gold","Stater (gold)","Uninscribed",477000,218000
"CCI-963308","Gold","Quarter stater (gold)","Uninscribed",427000,124000
"CCI-963309","Gold","Quarter stater (gold)","Uninscribed",440000,116000
"CCI-963391","Silver","Unit (silver)","Uninscribed",452000,112000
"CCI-971003","Silver","Unit (silver)","Uninscribed",440000,116000
"CCI-971009","Gold","Quarter stater (gold)","Uninscribed",363000,165000
"CCI-971056","Gold","Stater (gold)","Uninscribed",319000,83000
"CCI-971142","Silver","Unit (silver)","Uninscribed",385000,219000
"CCI-971551","Silver","Unit (silver)","Uninscribed",436000,114000
"CCI-971564","Gold","Quarter stater (gold)","Uninscribed",366000,170000
"CCI-971576","Gold","Quarter stater (gold)","Uninscribed",436000,114000
"CCI-971659","Gold","Quarter stater (gold)","Uninscribed",467000,223000
"CCI-972103","Copper alloy","Quarter Stater (copper alloy)","Uninscribed",447000,190000
"CCI-972104","Gold","Quarter stater (gold)","Uninscribed",471000,172000
"CCI-972147","Silver","Unit (silver)","Uninscribed",436000,114000
"CCI-972163","Gold","Quarter stater (gold)","Uninscribed",488000,233000
"CCI-972277","Silver","Unit (silver)","Uninscribed",436000,114000
"CCI-972296","Gold","Quarter stater (gold)","Uninscribed",363000,165000
"CCI-972303","Gold","Quarter stater (gold)","Uninscribed",488000,233000
"CCI-972304","Gold","Quarter stater (gold)","Uninscribed",449000,282000
"CCI-980338","Gold","Quarter stater (gold)","Uninscribed",436000,114000
"CCI-980348","Gold","Quarter stater (gold)","Uninscribed",449000,159000
"CCI-980479","Gold","Quarter stater (gold)","Uninscribed",436000,114000
"CCI-98048","Gold","Quarter stater (gold)","Uninscribed",446000,118000
"CCI-9805","Gold","Quarter stater (gold)","Uninscribed",498000,231000
"CCI-981039","Silver","Unit (silver)","Uninscribed",410000,128000
"CCI-981051","Gold","Quarter stater (gold)","Uninscribed",369000,170000
"CCI-981086","Copper alloy","Unit (copper alloy)","Uninscribed",398000,139000
"CCI-981087","Copper alloy","Unit (copper alloy)","Uninscribed",398000,139000
"CCI-981088","Gold","Quarter stater (gold)","Uninscribed",398000,139000
"CCI-981089","Gold","Quarter stater (gold)","Uninscribed",398000,139000
"CCI-981136","Gold","Quarter stater (gold)","Uninscribed",395000,137000
"CCI-981143","Gold","Quarter stater (gold)","Uninscribed",397000,183000
"CCI-981179","Gold","Quarter stater (gold)","Uninscribed",435000,242000
"CCI-981247","Gold","Quarter stater (gold)","Uninscribed",369000,170000
"CCI-981272","Silver","Minim (silver)","Uninscribed",406000,95000
"CCI-981273","Silver","Minim (silver)","Uninscribed",406000,95000
"CCI-981274","Silver","Minim (silver)","Uninscribed",406000,95000
"CCI-981275","Silver","Minim (silver)","Uninscribed",406000,95000
"CCI-981322","Silver","Unit (silver)","Uninscribed",424000,133000
"CCI-981551","Gold","Quarter stater (gold)","Uninscribed",436000,114000
"CCI-981564","Gold","Quarter stater (gold)","Uninscribed",351000,267000
"CCI-982148","Gold","Quarter stater (gold)","Uninscribed",436000,114000
"CCI-982149","Gold","Quarter stater (gold)","Uninscribed",369000,170000
"CCI-982154","Gold","Quarter stater (gold)","Uninscribed",453000,229000
"CCI-98219","Gold","Quarter stater (gold)","Uninscribed",360000,261000
"CCI-98226","Copper alloy","Unit (copper alloy)","Uninscribed",448000,124000
"CCI-990687","Copper alloy","Quarter Stater (copper alloy)","Uninscribed",436000,114000
"CCI-990858","Gold","Quarter stater (gold)","Uninscribed",436000,114000
"CCI-99101","Gold","Quarter stater (gold)","Uninscribed",410000,170000
"CCI-991228","Silver","Unit (silver)","Uninscribed",451000,117000
"CCI-991271","Silver","Unit (silver)","Uninscribed",436000,114000
"CCI-991389","Gold","Quarter stater (gold)","Uninscribed",474000,243000
